Date,Close,Open,High,Low,Stupid,Change %,Format,Volume
7/11/2018,11471.00,11341.00,11482.00,11316.00,2.48K,1.15%,2.48,2480
7/12/2018,11341.00,11768.00,11768.00,11200.00,6.16K,-3.63%,6.16,6160
7/13/2018,11768.00,11663.00,11817.90,11616.80,1.99K,0.90%,1.99,1990
7/14/2018,11663.00,11685.00,11692.60,11551.00,1.93K,-0.19%,1.93,1930
7/15/2018,11685.00,11531.00,11690.70,11449.00,3.46K,1.34%,3.46,3460
7/16/2018,11531.00,11884.00,11889.00,11531.00,6.10K,-2.97%,6.10,6100
7/17/2018,11884.00,11778.00,11900.00,11719.00,2.73K,0.90%,2.73,2730
7/18/2018,11778.00,11961.80,12004.00,11694.60,6.29K,-1.54%,6.29,6290
7/19/2018,11961.80,12300.00,12359.00,11927.20,7.18K,-2.75%,7.18,7180
7/20/2018,12300.00,11925.00,12415.00,11826.10,10.12K,3.14%,10.12,10120
7/21/2018,11925.00,11873.40,11925.00,11781.00,2.71K,0.43%,2.71,2710
7/22/2018,11873.40,11761.00,11977.40,11761.00,4.04K,0.96%,4.04,4040
7/23/2018,11761.00,11792.50,11824.00,11699.00,4.65K,-0.27%,4.65,4650
7/24/2018,11792.50,11589.00,11792.50,11388.00,5.78K,1.74%,5.78,5780
7/25/2018,11591.00,11379.80,11591.00,11257.00,5.82K,1.86%,5.82,5820
7/26/2018,11379.80,11892.00,11912.00,11278.00,7.11K,-4.31%,7.11,7110
7/27/2018,11892.00,11675.70,12024.00,11675.70,6.57K,1.85%,6.57,6570
7/28/2018,11675.70,11764.00,11782.00,11572.00,1.57K,-0.75%,1.57,1570
7/29/2018,11764.00,11580.00,11772.00,11564.00,1.87K,1.59%,1.87,1870
7/30/2018,11580.00,11759.00,11845.00,11509.00,5.09K,-1.52%,5.09,5090
7/31/2018,11759.00,11735.80,11858.00,11649.70,3.90K,0.20%,3.90,3900
8/1/2018,11735.80,11184.00,11735.80,11182.00,5.79K,4.93%,5.79,5790
8/2/2018,11184.00,11226.50,11346.80,11096.00,3.26K,-0.38%,3.26,3260
8/3/2018,11226.50,11053.80,11389.00,11053.80,4.09K,1.56%,4.09,4090
8/4/2018,11053.80,11804.70,11917.00,11032.00,13.22K,-6.36%,13.22,13220
8/5/2018,11804.70,11350.00,11804.70,11307.00,10.57K,4.01%,10.57,10570
8/6/2018,11350.00,11123.00,11378.00,11038.00,5.83K,2.04%,5.83,5830
8/7/2018,11123.00,11117.00,11180.00,10965.00,4.25K,0.05%,4.25,4250
8/8/2018,11117.00,10932.00,11240.00,10929.20,8.82K,1.69%,8.82,8820
8/9/2018,10932.00,11044.00,11211.80,10761.00,9.88K,-1.01%,9.88,9880
8/10/2018,11044.00,9946.30,11249.10,9946.30,21.58K,11.02%,21.58,21580
8/11/2018,9948.10,9714.90,10008.00,9685.80,8.94K,2.40%,8.94,8940
8/12/2018,9714.90,9559.10,9730.50,9559.10,2.56K,1.63%,2.56,2560
8/13/2018,9559.40,9615.00,9615.00,9505.30,2.26K,-0.58%,2.26,2260
8/14/2018,9615.00,9557.70,9642.90,9494.60,4.70K,0.60%,4.70,4700
8/15/2018,9557.70,9402.00,9557.70,9349.30,4.14K,1.66%,4.14,4140
8/16/2018,9402.00,9179.20,9434.00,9179.20,5.40K,2.43%,5.40,5400
8/17/2018,9179.20,9231.20,9231.20,9169.70,1.40K,-0.56%,1.40,1400
8/18/2018,9231.20,9189.10,9231.20,9130.50,1.44K,0.46%,1.44,1440
8/19/2018,9189.10,9167.30,9200.10,9142.90,1.17K,0.24%,1.17,1170
8/20/2018,9167.30,9149.90,9172.00,9128.80,1.06K,0.19%,1.06,1060
8/21/2018,9149.90,9210.10,9215.70,9092.10,2.87K,-0.65%,2.87,2870
8/22/2018,9210.10,9263.40,9263.40,9195.70,0.90K,-0.58%,0.90,900
8/23/2018,9263.40,9252.00,9270.70,9194.80,2.20K,0.12%,2.20,2200
8/24/2018,9252.00,9315.80,9344.80,9238.10,1.93K,-0.68%,1.93,1930
8/25/2018,9315.80,9246.30,9315.80,9195.60,1.86K,0.75%,1.86,1860
8/26/2018,9246.30,9305.70,9305.70,9221.80,0.81K,-0.64%,0.81,810
8/27/2018,9305.70,9248.90,9305.70,9161.90,1.42K,0.61%,1.42,1420
8/28/2018,9248.90,9447.00,9447.00,9215.00,3.71K,-2.10%,3.71,3710
8/29/2018,9447.00,9267.50,9480.70,9267.50,3.81K,1.94%,3.81,3810
8/30/2018,9267.50,9361.00,9361.00,9255.10,1.63K,-1.00%,1.63,1630
8/31/2018,9361.00,9089.70,9361.00,9080.10,4.26K,2.99%,4.26,4260
9/1/2018,9089.70,9147.70,9152.30,9004.90,2.08K,-0.63%,2.08,2080
9/2/2018,9147.70,9073.90,9203.50,9060.00,1.13K,0.81%,1.13,1130
9/3/2018,9073.90,9100.00,9135.50,9058.10,1.09K,-0.29%,1.09,1090
9/4/2018,9100.00,9239.90,9266.10,8950.20,3.79K,-1.51%,3.79,3790
